adversarial_fraction,flip_probability,seed,algorithm,accuracy
0.8,0.0,5012,time_decayed,0.84
0.8,0.0,5013,majority_vote,0.0
0.8,0.0,5013,reputation_weighted,0.7
0.8,0.0,5013,time_decayed,0.6
0.8,0.0,5014,majority_vote,0.0
0.8,0.0,5014,reputation_weighted,0.74
0.8,0.0,5014,time_decayed,0.6
0.8,0.0,5015,majority_vote,0.02
0.8,0.0,5015,reputation_weighted,0.74
0.8,0.0,5015,time_decayed,0.66
0.8,0.0,5016,majority_vote,0.0
0.8,0.0,5016,reputation_weighted,0.96
0.8,0.0,5016,time_decayed,0.84
0.8,0.0,5017,majority_vote,0.02
0.8,0.0,5017,reputation_weighted,0.56
0.8,0.0,5017,time_decayed,0.48
0.8,0.0,5018,majority_vote,0.02
0.8,0.0,5018,reputation_weighted,0.64
0.8,0.0,5018,time_decayed,0.46
0.8,0.0,5019,majority_vote,0.02
0.8,0.0,5019,reputation_weighted,0.7
0.8,0.0,5019,time_decayed,0.54
0.8,0.0,5020,majority_vote,0.0
0.8,0.0,5020,reputation_weighted,0.72
0.8,0.0,5020,time_decayed,0.66
0.8,0.0,5021,majority_vote,0.0
0.8,0.0,5021,reputation_weighted,0.86
0.8,0.0,5021,time_decayed,0.74
0.8,0.0,5022,majority_vote,0.0
0.8,0.0,5022,reputation_weighted,0.76
0.8,0.0,5022,time_decayed,0.7
0.8,0.0,5023,majority_vote,0.0
0.8,0.0,5023,reputation_weighted,0.7
0.8,0.0,5023,time_decayed,0.58
0.8,0.0,5024,majority_vote,0.0
0.8,0.0,5024,reputation_weighted,0.8
0.8,0.0,5024,time_decayed,0.68
0.8,0.0,5025,majority_vote,0.02
0.8,0.0,5025,reputation_weighted,0.76
0.8,0.0,5025,time_decayed,0.58
0.8,0.0,5026,majority_vote,0.0
0.8,0.0,5026,reputation_weighted,0.82
0.8,0.0,5026,time_decayed,0.78
0.8,0.0,5027,majority_vote,0.0
0.8,0.0,5027,reputation_weighted,0.62
0.8,0.0,5027,time_decayed,0.5
0.8,0.0,5028,majority_vote,0.02
0.8,0.0,5028,reputation_weighted,0.82
0.8,0.0,5028,time_decayed,0.72
0.8,0.0,5029,majority_vote,0.02
0.8,0.0,5029,reputation_weighted,0.78
0.8,0.0,5029,time_decayed,0.64
0.8,0.4,5000,majority_vote,0.2
0.8,0.4,5000,reputation_weighted,0.64
0.8,0.4,5000,time_decayed,0.46
0.8,0.4,5001,majority_vote,0.16
0.8,0.4,5001,reputation_weighted,0.46
0.8,0.4,5001,time_decayed,0.46
0.8,0.4,5002,majority_vote,0.16
